Name,System,Neurotransmitter,ConfidenceInNeuroTransmitter,Type_Main,Type_Class,Type_Full
AS5,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
AS6,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
AS7,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
AS8,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
AS9,Somatic,Acetylcholine,1,Motor Neuron,Single,Motor neuron
ASEL,Somatic,FMRFamide,1,Sensory Neuron,Single,Sensory neuron (Chemosensory)
ASER,Somatic,FMRFamide,1,Sensory Neuron,Single,Sensory neuron (Chemosensory)
ASGL,Somatic,Glutamate,0.5,Sensory Neuron,Single,Sensory neuron (Chemosensory)
ASGR,Somatic,Glutamate,0.5,Sensory Neuron,Single,Sensory neuron (Chemosensory)
ASHL,Somatic,Glutamate,1,Sensory Neuron,Multiple,"Sensory neuron (Osmo-, mechano- and odorsensory, nociceptive)"
ASHR,Somatic,Glutamate,1,Sensory Neuron,Multiple,"Sensory neuron (Osmo-, mechano- and odorsensory, nociceptive)"
ASIL,Somatic,-,0.2,Sensory Neuron,Multiple,"Sensory neuron (Chemosensory, thermosensory)"
ASIR,Somatic,-,0.2,Sensory Neuron,Multiple,"Sensory neuron (Chemosensory, thermosensory)"
ASJL,Somatic,Glutamate,0.2,Sensory Neuron,Single,Sensory neuron
ASJR,Somatic,Glutamate,0.2,Sensory Neuron,Single,Sensory neuron
ASKL,Somatic,Glutamate,1,Sensory Neuron,Single,Sensory neuron (Chemosensory)
ASKR,Somatic,Glutamate,1,Sensory Neuron,Single,Sensory neuron (Chemosensory)
AUAL,Somatic,Glutamate,1,Interneuron,Single,Interneuron
AUAR,Somatic,Glutamate,1,Interneuron,Single,Interneuron
AVAL,Somatic,FMRFamide,1,Interneuron,Single,Interneuron
AVAR,Somatic,FMRFamide,1,Interneuron,Single,Interneuron
AVBL,Somatic,Glutamate,0.5,Interneuron,Single,Interneuron
AVBR,Somatic,Glutamate,0.5,Interneuron,Single,Interneuron
AVDL,Somatic,Glutamate,0.4,Interneuron,Single,Interneuron
AVDR,Somatic,Glutamate,0.4,Interneuron,Single,Interneuron
AVEL,Somatic,FMRFamide,1,Interneuron,Single,Interneuron
AVER,Somatic,FMRFamide,1,Interneuron,Single,Interneuron
AVFL,Somatic,Glutamate,0.4,Interneuron,Single,Interneuron
AVFR,Somatic,Glutamate,0.4,Interneuron,Single,Interneuron
AVG,Somatic,Glutamate,0.5,Interneuron,Single,Interneuron
AVHL,Somatic,Glutamate,0.4,Interneuron,Single,Interneuron
AVHR,Somatic,Glutamate,0.4,Interneuron,Single,Interneuron
AVJL,Somatic,Glutamate,1,Interneuron,Single,Interneuron
AVJR,Somatic,Glutamate,1,Interneuron,Single,Interneuron
AVKL,Somatic,FMRFamide,1,Interneuron,Single,Interneuron
AVKR,Somatic,FMRFamide,1,Interneuron,Single,Interneuron
AVL,Somatic,GABA,1,Interneuron,Multiple,Polymodal (Interneuron/motor neuron)
